,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
126,108490,KR7108490004,로보티즈,KOSDAQ,기술성장기업부,280000,1,19000,7.28,263000,289000,259000,392691,108773450250,4105087840000,14661028,KSQ
127,082740,KR7082740002,한화엔진,KOSPI,,49050,1,800,1.66,48900,49850,47300,659245,31894490050,4093082315100,83447142,STK
128,222800,KR7222800005,심텍,KOSDAQ GLOBAL,중견기업부,108700,1,2900,2.74,108900,110800,102700,861169,92738708750,4072329299700,37463931,KSQ
129,004170,KR7004170007,신세계,KOSPI,,427000,1,7500,1.79,428000,439000,415000,50719,21570113750,4033092287000,9445181,STK
130,001040,KR7001040005,CJ,KOSPI,,138100,1,500,0.36,137700,139500,133400,158621,21570103950,4029343423800,29176998,STK
131,002380,KR7002380004,KCC,KOSPI,,465500,1,9500,2.08,456500,466500,450500,15647,7191590250,3999993088000,8592896,STK
132,004020,KR7004020004,현대제철,KOSPI,,29900,1,1100,3.82,28900,30100,28600,674289,19878335650,3990028971500,133445785,STK
133,018880,KR7018880005,한온시스템,KOSPI,,3820,1,15,0.39,3800,3895,3745,4462143,17030759156,3920322948640,1026262552,STK
134,319660,KR7319660007,피에스케이,KOSDAQ,우량기업부,134100,2,-500,-0.37,137800,140500,126800,344400,45641802800,3884436347400,28966714,KSQ
135,001450,KR7001450006,현대해상,KOSPI,,45350,1,2400,5.59,42900,45800,42700,1120890,50334551650,3866008137500,85248250,STK
136,052690,KR7052690005,한전기술,KOSPI,,101000,1,1200,1.2,103900,105600,99700,101395,10270974800,3860220000000,38220000,STK
137,111770,KR7111770004,영원무역,KOSPI,,85900,1,1200,1.42,83700,86200,82200,57535,4892032650,3806355101200,44311468,STK
138,103590,KR7103590006,일진전기,KOSPI,,74300,1,1900,2.62,73600,74300,69200,528090,37890690850,3543024477000,47685390,STK
139,007340,KR7007340003,DN오토모티브,KOSPI,,58900,1,9450,19.11,49150,61300,49150,899436,50811682925,3446289948500,58510865,STK
140,095340,KR7095340006,ISC,KOSDAQ,우량기업부,161300,1,1500,0.94,159800,163500,153000,187860,29992465150,3419085455400,21197058,KSQ
141,036460,KR7036460004,한국가스공사,KOSPI,,36600,1,700,1.95,35850,36800,35750,120369,4388595650,3378655800000,92313000,STK
142,214370,KR7214370009,케어젠,KOSDAQ,벤처기업부,61900,2,-2100,-3.28,64300,66200,60800,135246,8404462950,3324958500000,53715000,KSQ
143,403870,KR7403870009,HPSP,KOSDAQ GLOBAL,우량기업부,40400,2,-800,-1.94,42250,42300,38900,2322000,93505928025,3324920000000,82300000,KSQ
144,310210,KR7310210000,보로노이,KOSDAQ,기술성장기업부,179700,2,-1000,-0.55,178600,185000,171900,101942,17998767400,3314223812100,18443093,KSQ
145,022100,KR7022100002,포스코DX,KOSPI,,21750,2,-50,-0.23,21900,22450,21100,286086,6187275725,3306755355750,152034729,STK
146,011780,KR7011780004,금호석유화학,KOSPI,,130600,1,1700,1.32,129000,131900,128500,88702,11517284000,3285546645000,25157325,STK
147,440110,KR7440110005,파두,KOSDAQ,기술성장기업부,65500,1,2500,3.97,65700,71200,64300,1187394,79946605500,3282272268500,50111027,KSQ
148,161890,KR7161890009,한국콜마,KOSPI,,136700,1,1500,1.11,135200,140200,133300,604709,82959497400,3226814025900,23605077,STK
149,145020,KR7145020004,휴젤,KOSDAQ,우량기업부,256000,2,-6500,-2.48,262500,264000,250500,48360,12318161500,3203884288000,12515173,KSQ
150,251270,KR7251270005,넷마블,KOSPI,,39100,1,250,0.64,38600,39600,38450,120680,4693765675,3203641726100,81934571,STK
